Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1246;1;ATLETICO/MG;FLAMENGO/RJ;Domingo;0;0;0;0,244077531;0,279971285;0,475951184;0,475951184;0,279971285;0,244077531;0;0;0
1246;2;BAHIA/BA;SANTOS/SP;Sábado;0;0;0;0,526315789;0,263157895;0,210526316;0,526315789;0,263157895;0,210526316;0;0;0
1246;3;BOTAFOGO/RJ;INTERNACIONAL/RS;Sábado;0;0;0;0,365853659;0,317073171;0,317073171;0,365853659;0,317073171;0,317073171;0;0;0
1246;4;REMO/PA;CRUZEIRO/MG;Sábado;0;0;0;0,287542988;0,27111196;0,441345052;0,441345052;0,287542988;0,27111196;0;0;0
1246;5;SPORT/PE;NOVORIZONTINO/SP;Sábado;0;0;0;0,437414567;0,293887913;0,26869752;0,437414567;0,293887913;0,26869752;0;0;0
1246;6;SAO PAULO/SP;MIRASSOL/SP;Sábado;0;0;0;0,518693611;0,249791923;0,231514465;0,518693611;0,249791923;0,231514465;0;0;0
1246;7;CORINTHIANS/SP;VASCO DA GAMA/RJ;Domingo;0;0;0;0,473684211;0,263157895;0,263157895;0,473684211;0,263157895;0,263157895;0;0;0
1246;8;GREMIO/RS;CORITIBA/PR;Domingo;0;0;0;0,500595056;0,279744296;0,219660648;0,500595056;0,279744296;0,219660648;0;0;0
1246;9;OSASUNA/ESP;SEVILLA/ESP;Domingo;0;0;0;0,441734959;0,285428743;0,272836298;0,441734959;0,285428743;0,272836298;0;0;0
1246;10;ATHLETICO/PR;VITORIA/BA;Domingo;0;0;0;0,556783031;0,26292532;0,180291648;0,556783031;0,26292532;0,180291648;0;0;0
1246;11;BRAGANTINO/SP;PALMEIRAS/SP;Domingo;0;0;0;0,29753038;0,288514308;0,413955312;0,413955312;0,29753038;0,288514308;0;0;0
1246;12;MILAN/ITA;JUVENTUS/ITA;Domingo;0;0;0;0,317073171;0,317073171;0,365853659;0,365853659;0,317073171;0,317073171;0;0;0
1246;13;FLUMINENSE/RJ;CHAPECOENSE/SC;Domingo;0;0;0;0,731869594;0,172987359;0,095143047;0,731869594;0,172987359;0,095143047;0;0;0
1246;14;ATLETICO/GO;AVAI/SC;Domingo;0;0;0;0,496387133;0,285798652;0,217814215;0,496387133;0,285798652;0,217814215;0;0;0
